primaryAddress;slaveSerial;manufacturer;recordId;value;timestamp;function;unit
1;21080516;INM;0;87106;2024-12-01T15:45:20Z;Instantaneous value;"Energy (10 Wh)"
2;21080521;INM;0;224327;2024-12-01T15:45:24Z;Instantaneous value;"Energy (10 Wh)"
3;21080141;INM;0;3519;2024-12-01T15:45:29Z;Instantaneous value;"Energy (10 Wh)"
4;21080518;INM;0;123218;2024-12-01T15:45:33Z;Instantaneous value;"Energy (10 Wh)"
5;21080146;INM;0;113841;2024-12-01T15:45:38Z;Instantaneous value;"Energy (10 Wh)"
9;21080508;INM;0;414307;2024-12-01T15:46:03Z;Instantaneous value;"Energy (10 Wh)"
16;618175;APA;2;67;2024-12-01T15:46:15Z;Instantaneous value;"Volume (m m^3)"
17;523364;APA;2;48;2024-12-01T15:46:19Z;Instantaneous value;"Volume (m m^3)"
18;578106;APA;2;15601;2024-12-01T15:46:24Z;Instantaneous value;"Volume (m m^3)"
19;577834;APA;2;5052;2024-12-01T15:46:29Z;Instantaneous value;"Volume (m m^3)"
20;537136;APA;2;1120;2024-12-01T15:46:33Z;Instantaneous value;"Volume (m m^3)"
21;536586;APA;2;3258;2024-12-01T15:46:38Z;Instantaneous value;"Volume (m m^3)"
22;577844;APA;2;48030;2024-12-01T15:46:43Z;Instantaneous value;"Volume (m m^3)"
23;537452;APA;2;35232;2024-12-01T15:46:47Z;Instantaneous value;"Volume (m m^3)"
24;578104;APA;2;27388;2024-12-01T15:46:52Z;Instantaneous value;"Volume (m m^3)"
25;537665;APA;2;5717;2024-12-01T15:46:56Z;Instantaneous value;"Volume (m m^3)"
26;577816;APA;2;34;2024-12-01T15:47:01Z;Instantaneous value;"Volume (m m^3)"
27;537839;APA;2;54;2024-12-01T15:47:06Z;Instantaneous value;"Volume (m m^3)"
28;577534;APA;2;71;2024-12-01T15:47:10Z;Instantaneous value;"Volume (m m^3)"
29;537890;APA;2;88;2024-12-01T15:47:15Z;Instantaneous value;"Volume (m m^3)"
30;577607;APA;2;63;2024-12-01T15:47:19Z;Instantaneous value;"Volume (m m^3)"
31;537482;APA;2;102;2024-12-01T15:47:24Z;Instantaneous value;"Volume (m m^3)"
32;577795;APA;2;12904;2024-12-01T15:47:29Z;Instantaneous value;"Volume (m m^3)"
33;537031;APA;2;1865;2024-12-01T15:47:33Z;Instantaneous value;"Volume (m m^3)"
34;577624;APA;2;147;2024-12-01T15:47:38Z;Instantaneous value;"Volume (m m^3)"
35;537374;APA;2;8492;2024-12-01T15:47:43Z;Instantaneous value;"Volume (m m^3)"
36;577080;APA;2;9527;2024-12-01T15:47:47Z;Instantaneous value;"Volume (m m^3)"
37;537830;APA;2;3048;2024-12-01T15:47:52Z;Instantaneous value;"Volume (m m^3)"
38;498791;APA;2;16371;2024-12-01T15:47:56Z;Instantaneous value;"Volume (m m^3)"
39;537420;APA;2;165;2024-12-01T15:48:01Z;Instantaneous value;"Volume (m m^3)"
45;71396329;LUG;2;13425;2024-12-01T15:48:06Z;Instantaneous value;"Energy (kWh)"
46;71396362;LUG;2;429;2024-12-01T15:48:11Z;Instantaneous value;"Energy (kWh)"
47;71396425;LUG;2;10161;2024-12-01T15:48:17Z;Instantaneous value;"Energy (kWh)"
48;71396309;LUG;2;2923;2024-12-01T15:48:22Z;Instantaneous value;"Energy (kWh)"
49;71396494;LUG;2;2867;2024-12-01T15:48:27Z;Instantaneous value;"Energy (kWh)"
50;71396423;LUG;2;2484;2024-12-01T15:48:32Z;Instantaneous value;"Energy (kWh)"
